SkillIndex,SkillName,SkillType,CategoryKey,SkillPower,SkillAccuary,SkillPP,Target
1,막치기,Normal,Physical,40,100%,35,
2,태권당수,Fighting,Physical,50,100%,25,
3,연속뺨치기,Normal,Physical,15,85%,10,
4,연속펀치,Normal,Physical,18,85%,15,
5,메가톤펀치,Normal,Physical,80,85%,20,
6,고양이돈받기,Normal,Physical,40,100%,20,
7,불꽃펀치,Fire,Physical,75,100%,15,
8,냉동펀치,Ice,Physical,75,100%,15,
9,번개펀치,Electric,Physical,75,100%,15,
10,할퀴기,Normal,Physical,40,100%,35,
11,찝기,Normal,Physical,55,100%,30,
12,가위자르기,Normal,Physical,0,30%,5,
13,칼바람,Normal,Special,80,100%,10,
14,칼춤,Normal,Status,0,0,20,Self
15,풀베기,Normal,Physical,50,95%,30,
16,바람일으키기,Flying,Special,40,100%,35,
17,날개치기,Flying,Physical,60,100%,35,
18,날려버리기,Normal,Status,0,0,20,Self
19,공중날기,Flying,Physical,90,95%,15,
20,조이기,Normal,Physical,15,85%,20,
21,힘껏치기,Normal,Physical,80,75%,20,
22,덩굴채찍,Grass,Physical,45,100%,25,
23,짓밟기,Normal,Physical,65,100%,20,
24,두번치기,Fighting,Physical,30,100%,30,
25,메가톤킥,Normal,Physical,120,75%,5,
26,점프킥,Fighting,Physical,100,95%,10,
27,돌려차기,Fighting,Physical,60,85%,15,
28,모래뿌리기,Ground,Status,0,100%,15,Self
29,박치기,Normal,Physical,70,100%,15,
30,뿔찌르기,Normal,Physical,65,100%,25,
31,마구찌르기,Normal,Physical,15,85%,20,
32,뿔드릴,Normal,Physical,0,30%,5,
33,몸통박치기,Normal,Physical,40,100%,35,
34,누르기,Normal,Physical,85,100%,15,
35,김밥말이,Normal,Physical,15,90%,20,
36,돌진,Normal,Physical,90,85%,20,
37,난동부리기,Normal,Physical,120,100%,10,
38,이판사판태클,Normal,Physical,120,100%,15,
39,꼬리흔들기,Normal,Status,0,100%,30,Self
40,독침,Poison,Physical,15,100%,35,
41,더블니들,Bug,Physical,25,100%,20,
42,바늘미사일,Bug,Physical,25,95%,20,
43,째려보기,Normal,Status,0,100%,30,Self
44,물기,Dark,Physical,60,100%,25,
45,울음소리,Normal,Status,0,100%,40,Self
46,울부짖기,Normal,Status,0,0,20,Self
47,노래하기,Normal,Status,0,55%,15,Self
48,초음파,Normal,Status,0,55%,20,Self
49,소닉붐,Normal,Special,20,90%,20,
50,사슬묶기,Normal,Status,0,100%,20,Self
51,용해액,Poison,Special,40,100%,30,
52,불꽃세례,Fire,Special,40,100%,25,
53,화염방사,Fire,Special,90,100%,15,
54,흰안개,Ice,Status,0,0,30,Self
55,물대포,Water,Special,40,100%,25,
56,하이드로펌프,Water,Special,110,80%,5,
57,파도타기,Water,Special,90,100%,15,
58,냉동빔,Ice,Special,90,100%,10,
59,눈보라,Ice,Special,110,70%,5,
60,환상빔,Psychic,Special,65,100%,20,
61,거품광선,Water,Special,65,100%,20,
62,오로라빔,Ice,Special,65,100%,20,
63,파괴광선,Normal,Special,150,90%,5,
64,쪼기,Flying,Physical,35,100%,35,
65,회전부리,Flying,Physical,80,100%,20,
66,지옥의바퀴,Fighting,Physical,80,80%,20,
67,안다리걸기,Fighting,Physical,0,100%,20,
68,카운터,Fighting,Physical,0,100%,20,
69,지구던지기,Fighting,Physical,0,100%,20,
70,괴력,Normal,Physical,80,100%,15,
71,흡수,Grass,Special,20,100%,25,
72,메가드레인,Grass,Special,40,100%,15,
73,씨뿌리기,Grass,Status,0,90%,10,Self
74,성장,Normal,Status,0,0,20,Self
75,잎날가르기,Grass,Physical,55,95%,25,
76,솔라빔,Grass,Special,120,100%,10,
77,독가루,Poison,Status,0,75%,35,Self
78,저리가루,Grass,Status,0,75%,30,Self
79,수면가루,Grass,Status,0,75%,15,Self
80,꽃잎댄스,Grass,Special,120,100%,10,
81,실뿜기,Bug,Status,0,95%,40,Self
82,용의분노,Dragon,Special,40,100%,10,
83,회오리불꽃,Fire,Special,35,85%,15,
84,전기쇼크,Electric,Special,40,100%,30,
85,10만볼트,Electric,Special,90,100%,15,
86,전기자석파,Electric,Status,0,90%,20,Self
87,번개,Electric,Special,110,70%,10,
88,돌떨구기,Rock,Physical,50,90%,15,
89,지진,Ground,Physical,100,100%,10,
90,땅가르기,Ground,Physical,0,30%,5,
91,구멍파기,Ground,Physical,80,100%,10,
92,맹독,Poison,Status,0,90%,10,Self
93,염동력,Psychic,Special,50,100%,25,
94,사이코키네시스,Psychic,Special,90,100%,10,
95,최면술,Psychic,Status,0,60%,20,Self
96,요가포즈,Psychic,Status,0,0,40,Self
97,고속이동,Psychic,Status,0,0,30,Self
98,전광석화,Normal,Physical,40,100%,30,
99,분노,Normal,Physical,20,100%,20,
100,순간이동,Psychic,Status,0,0,20,Self
101,나이트헤드,Ghost,Special,0,100,15,
102,흉내내기,Normal,Status,0,0,10,Self
103,싫은소리,Normal,Status,0,85,40,Self
104,그림자분신,Normal,Status,0,0,15,Self
105,HP회복,Normal,Status,0,0,10,Self
106,단단해지기,Normal,Status,0,0,30,Self
107,작아지기,Normal,Status,0,0,10,Self
108,연막,Normal,Status,0,100,20,Self
109,이상한빛,Ghost,Status,0,100,10,Self
110,껍질에숨기,Water,Status,0,0,40,Self
111,웅크리기,Normal,Status,0,0,40,Self
112,배리어,Psychic,Status,0,0,20,Self
113,빛의장막,Psychic,Status,0,0,30,Self
114,흑안개,Ice,Status,0,0,30,Self
115,리플렉터,Psychic,Status,0,0,20,Self
116,기충전,Normal,Status,0,0,30,Self
117,참기,Normal,Physical,0,0,10,
118,손가락흔들기,Normal,Status,0,0,10,Self
119,따라하기,Flying,Status,0,0,20,Self
120,자폭,Normal,Physical,200,100,5,
121,알폭탄,Normal,Physical,100,75,10,
122,핥기,Ghost,Physical,30,100,30,
123,스모그,Poison,Special,30,70,20,
124,오물공격,Poison,Special,65,100,20,
125,뼈다귀치기,Ground,Physical,65,85,20,
126,불대문자,Fire,Special,110,85,5,
127,폭포오르기,Water,Physical,80,100,15,
128,껍질끼우기,Water,Physical,35,85,15,
129,스피드스타,Normal,Special,60,0,20,
130,로케트박치기,Normal,Physical,130,100,10,
131,가시대포,Normal,Physical,20,100,15,
132,휘감기,Normal,Physical,10,100,35,
133,망각술,Psychic,Status,0,0,20,Self
134,숟가락휘기,Psychic,Status,0,80,15,Self
135,알낳기,Normal,Status,0,0,10,Self
136,무릎차기,Fighting,Physical,130,90,10,
137,뱀눈초리,Normal,Status,0,100,30,Self
138,꿈먹기,Psychic,Special,100,100,15,
139,독가스,Poison,Status,0,90,40,Self
140,구슬던지기,Normal,Physical,15,85,20,
141,흡혈,Bug,Physical,80,100,10,
142,악마의키스,Normal,Status,0,75,10,Self
143,불새,Flying,Physical,140,90,5,
144,변신,Normal,Status,0,0,10,Self
145,거품,Water,Special,40,100,30,
146,잼잼펀치,Normal,Physical,70,100,10,
147,버섯포자,Grass,Status,0,100,15,Self
